ENG	Ontological_Category	Semantic_Field	CMN 1	CMN 2	CMN 3	CMN 4	CMN 5	NL 1	NL 2	NL 3	NL 4	NL 5	SPA 1	SPA 2	SPA 3	SPA 4	SPA 5	DE 1	DE 2	DE 3	DE 4	DE 5	ENG_Associations	ENG_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	CMN 3_Associations	CMN 3_Association_Freqs	CMN 4_Associations	CMN 4_Association_Freqs	CMN 5_Associations	CMN 5_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	NL 3_Associations	NL 3_Association_Freqs	NL 4_Associations	NL 4_Association_Freqs	NL 5_Associations	NL 5_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs	SPA 3_Associations	SPA 3_Association_Freqs	SPA 4_Associations	SPA 4_Association_Freqs	SPA 5_Associations	SPA 5_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	DE 3_Associations	DE 3_Association_Freqs	DE 4_Associations	DE 4_Association_Freqs	DE 5_Associations	DE 5_Association_Freqs
camera			照相机	相机				camera					cámara					Kamera					picture; lens; photo; film; photograph; flash; phone; shoot; digital; smile; video; obscure; photography; memories; shutter; snap	46; 36; 25; 13; 11; 10; 9; 9; 7; 6; 6; 5; 5; 4; 4; 4	照片; 拍照; 摄像机; 镜头; 手机; 摄影; 相片; 单反; 快门; 照相馆; 相机; 胶卷; 记录; 佳能	19; 8; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2	照片; 单反; 拍照; 佳能; 像素; 手机; 胶卷; 相片; 索尼; 风景	16; 11; 7; 6; 5; 5; 5; 4; 4; 4							film; foto; lens; fotos; fototoestel; digitaal; tv; beeld; flits; herinnering; televisie; obscura; opnemen; vakantie; familie; filmen; kunst; reis; video; analoog	45; 42; 20; 18; 10; 9; 8; 7; 7; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 2									foto; video; de fotos; imagen; lente; acción; paisaje; cine; fotografía; luz; momento; recuerdos; actores	47; 8; 7; 7; 7; 6; 6; 5; 4; 4; 3; 3; 2									Foto; Film; Fotos; Video; Linse; Handy; Bild; Fotoapparat; Erinnerung; Farben; Fotograf	25; 15; 9; 8; 5; 4; 3; 3; 2; 2; 2								
carrot			胡萝卜					wortel					zanahoria					Karotte	Möhre				orange; vegetable; rabbit; stick; bunny; food; root; top; cake; eyes; juice; crunchy; healthy; bugs; dirt; eat; horse; peas; salad; snowman	65; 31; 25; 11; 10; 8; 8; 7; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3; 3	兔子; 维生素; 橙色; 白菜; 维生素A; 胡萝卜素; 难吃; 好吃; 明目; 甜; 红色; 不好吃	23; 7; 6; 4; 4; 4; 4; 3; 3; 3; 3; 2									oranje; konijn; groente; gezond; lekker; soep; boom; ogen; eten; groenten; erwt; groen; aarde; grond; paard; lang; loof	70; 47; 21; 11; 10; 10; 8; 8; 6; 6; 5; 5; 4; 4; 4; 3; 3									conejo; naranja; verdura; ensalada; vegetal; anaranjado; tomate; sana; comida; hortaliza; larga	31; 28; 18; 11; 11; 8; 5; 4; 3; 3; 3									Gemüse; orange; Orange; Möhre; Hase; Suppe; gesund; knackig; Augen; Garten; Gesund; Wurzel; essen	20; 19; 13; 12; 11; 5; 5; 4; 3; 3; 3; 3; 3	Karotte; orange; Hase; Gemüse; Orange; gesund; gelbe Rübe; lecker; Erde; Rübe; knackig	27; 18; 15; 12; 7; 6; 4; 4; 3; 3; 3						
case			案件					zaak	geval	etui			caso					Fall	Kasus				study; box; briefcase; law; brief; suit; suitcase; container; file; legal; book; closed; court; holder; example; luggage; upper; bag; beer; detectives	31; 15; 12; 10; 9; 9; 9; 8; 7; 7; 6; 6; 6; 6; 4; 4; 4; 3; 3; 3	警察; 事件; 犯罪; 公安; 破案; 侦探; 凶手; 凶杀; 刑事; 侦破; 柯南; 案子; 个案	17; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 2									winkel; ding; bedrijf; zelfstandig; werk; geld; advocaat; case; rechtbank; firma; kantoor; rechtszaak; affaire; casus; dossier; economie; onderneming; politie	34; 25; 19; 16; 10; 9; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3	zaak; case; speciaal; apart; voorval; ding; moeilijk; ongeval; situatie; casus; gebeurtenis; persoon; raar; iets; vreemd; toestand; bijzonder; iemand; probleem; studie	20; 18; 12; 10; 10; 9; 8; 8; 8; 7; 7; 7; 7; 6; 6; 5; 4; 4; 4; 4	pennenzak; bril; school; zakje; pen; leder; pennezak; pennen; koker; doosje; omhulsel; tasje; frans; leer; vulpen; balpen; hoesje; houder; make-up; omslag	22; 18; 15; 15; 12; 11; 11; 10; 7; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3					situación; juicio; cerrado; investigación; perdido; abogado; tema; crimen; estudio; hecho; policía; serio; abierto	15; 8; 6; 6; 5; 4; 4; 3; 3; 3; 3; 3; 2									Sturz; Grammatik; Fallschirm; Gericht; Höhe; Jura; Kasus; Kriminalfall; Studie; Wasser; tief; Abstieg; Angelegenheit; Aufgabe; Aufprall; Beispiel	15; 7; 4; 4; 3; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2; 2	Fall; Grammatik; Latein; Genitiv; Dativ; Kaukasus; deutsch; Akkusativ	29; 13; 12; 6; 5; 3; 3; 2						
cash			现金					geld	contant geld	cash	contant		efectivo	dinero				Kasse	Bar				money; green; dollar; coins; Johnny; credit; spend; wallet; check; dough; rich; bank; flow; bill; change; cow; notes; out; paper; pay	85; 14; 11; 8; 8; 7; 7; 7; 6; 6; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3	钱; 支付宝; 银行; 纸币; 金钱; 钞票; 人民币; 硬币; 钱包; 微信; 支付	15; 8; 8; 6; 6; 6; 5; 5; 5; 4; 4									rijk; euro; kopen; munten; bank; werken; briefjes; portefeuille; betalen; dollar; rijkdom; veel; biljetten; duur; kleren; bankkaart; winkel; groen; macht; muntstuk	26; 19; 11; 11; 10; 10; 9; 9; 8; 6; 6; 6; 5; 5; 5; 4; 4; 3; 3; 3			geld; betalen; bank; contant; winkel; munten; kassa; portefeuille; innen; briefjes; direct; rekening; veel; baar geld; bankautomaat; biljetten; centen; flow; kopen	84; 28; 10; 10; 10; 9; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	geld; cash; betalen; direct; betaling; munt; baar geld; onmiddellijk; briefjes; direkt; gepast; winkel; automaat; bankkaart	76; 62; 28; 15; 9; 8; 7; 6; 4; 3; 3; 3; 2; 2			dinero; plata; eficaz; billete; cash; rápido; útil; bien hecho; funciona; real; banco; bueno	47; 16; 9; 8; 8; 5; 4; 3; 3; 3; 2; 2	plata; billete; moneda; necesidad; poder; trabajo; banco; efectivo; mucho; riqueza; sueldo; verde; avaricia; billetera; cambio; capitalismo; casa; cien; codicia	27; 13; 11; 6; 6; 4; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2; 2							Geld; Supermarkt; bezahlen; Bezahlen; Schlange; einkaufen; Einkaufen; Kassiererin; Migros; zahlen; Abrechnung; Arbeit	36; 14; 8; 5; 5; 5; 4; 3; 3; 3; 2; 2	Alkohol; Bier; trinken; Cocktail; Geld; Cocktails; Getränk; Drink; Kneipe; Abend; Ausgang; Drinks; Freunde	14; 12; 10; 7; 7; 5; 5; 4; 4; 3; 3; 3; 3						
cat	Person/Thing	Animals	猫	猫咪	喵			kat					gato					Katze					dog; feline; meow; purr; mouse; fur; kitten; soft; animal; furry; pet; kitty; tiger; hair; lion; pussy; black; claws; cute; fluffy	61; 22; 17; 15; 13; 10; 7; 7; 6; 6; 6; 5; 5; 4; 4; 4; 3; 3; 3; 3	狗; 可爱; 喵; 眼睛; 铲屎官; 傲娇; 毛; 毛茸茸; 神秘; 萌; 云养猫	20; 11; 9; 5; 5; 3; 3; 3; 3; 3; 2	可爱; 喵; 萌; 狗; 主子; 喵喵; 宠物; 小狗; 摸; 毛; 毛茸茸; 铲屎官	22; 9; 9; 5; 3; 3; 3; 3; 3; 3; 3; 3	猫; 可爱; 猫咪; 汪; 叫声; 小猫; 狗; 卖萌; 喵呜; 喵喵; 喵喵喵; 萌	28; 14; 13; 8; 6; 6; 4; 3; 3; 3; 3; 3					hond; zacht; lief; poes; dier; huisdier; zwart; spinnen; muis; miauw; krabben; staart; aaien; miauwen; vals; haar; melk; ogen; allergie	26; 19; 17; 17; 14; 12; 12; 11; 10; 8; 7; 6; 5; 5; 5; 4; 4; 4; 3									animal; perro; felino; pelos; mascota; negro; amor; doméstico; independencia; lindo; mamífero; mimos; suave; amigo; bigotes; bigote	25; 17; 13; 7; 6; 4; 3; 3; 3; 3; 3; 3; 3; 2; 2; 2									Hund; Maus; Tier; Haustier; schnurren; Miau; streicheln; Fell; Haare; Krallen; Kater; Schnurren; weich	13; 13; 13; 9; 9; 7; 5; 4; 4; 4; 3; 3; 3								
cave	Person/Thing	The physical world	洞穴					grot					cueva					Höhle					dark; hole; bats; man; cold; cavern; rock; bear; mountain; wet; in; stone; caveman; damp; give in; underground; dweller; dwelling; hollow; mammoth	49; 22; 17; 11; 10; 9; 9; 8; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3	山顶洞人; 黑暗; 探险; 黑; 壁画; 山; 潮湿; 蝙蝠; 溶洞; 深; 野兽; 动物	12; 8; 7; 6; 5; 5; 5; 5; 4; 3; 3; 2									donker; koud; vochtig; rots; steen; nat; hol; spelonk; oertijd; vleermuizen; ardennen; beer; berg; grijs; holbewoner; speleologie; han; kil; lourdes; stalagmieten	42; 20; 14; 11; 11; 10; 9; 9; 6; 6; 5; 5; 5; 5; 5; 5; 4; 4; 4; 4									oscuro; caverna; oscuridad; oso; refugio; montaña; escondite; animal; casa; cavernícola; frío; hueco	19; 12; 11; 10; 10; 5; 4; 3; 3; 3; 3; 3									dunkel; Bär; Berg; Dunkel; Tropfstein; Fels; Neandertaler; eng; Platon; Stein; Steinzeit; Dunkelheit; Grotte	17; 8; 5; 5; 5; 4; 4; 4; 3; 3; 3; 2; 2								
celery			芹菜					selderij					apio					Sellerie					green; vegetable; crunchy; stalk; healthy; carrot; salad; peanut butter; crunch; soup; stick; water; salt; crisp; fresh; stringy	54; 37; 18; 14; 11; 9; 9; 8; 7; 7; 7; 6; 5; 4; 4; 4	绿色; 饺子; 香菜; 蔬菜; 难吃; 好吃; 韭菜; 吃; 牛肉; 白菜; 做饭; 健康	8; 8; 8; 7; 6; 4; 4; 3; 3; 3; 2; 2																			verde; verdura; ensalada; sopa; comida; vegetal; ajo; puerro; cebolla; condimento; crocante; rico	28; 22; 14; 14; 9; 8; 5; 5; 3; 3; 3; 3									Gemüse; Salat; Knolle; Suppe; grün; lecker; Stange; gesund; Geruch; Grün; Kraut	28; 10; 8; 8; 8; 6; 5; 5; 3; 3; 3								
cell			细胞					cel					célula	celda				Zelle					phone; jail; prison; biology; life; wall; mitochondria; small; battery; membrane; nucleus; organism; tower; block; body; mitosis; science; amoeba	51; 28; 24; 20; 9; 9; 6; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4; 3	生物; 细菌; 分裂; 显微镜; 实验; 小; cell; 代谢; 单细胞; 多; 植物; 生物书; 生物课	13; 5; 4; 4; 3; 3; 2; 2; 2; 2; 2; 2; 2									gevangenis; tralies; biologie; gevangene; lichaam; cipier; misdaad; opgesloten; crimineel; klein; prison break; dief; dutroux; eicel; koud; straf; excel; gevang; klooster; metaal	71; 16; 13; 12; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3									vida; biología; cuerpo; eucariota; madre; organismo; unidad; átomo; mitocondria; pequeño; piel; ADN; cáncer; núcleo	21; 10; 8; 6; 6; 6; 6; 5; 4; 4; 4; 3; 3; 3	cárcel; prisión; encierro; preso; Excel; lugar; rejas; calabozo; libertad; reja; barrotes; casilla; encerrado; prisionero	41; 25; 11; 10; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3							Gefängnis; Biologie; Körper; Mitochondrium; Terror; Organismus; DNA; Kloster	31; 26; 17; 5; 5; 4; 3; 3								
cello			大提琴					cello					violonchelo					Cello	Violoncello				violin; music; instrument; strings; orchestra; bow; bass; viola; wood; band; sound; beautiful; play; big	41; 40; 25; 24; 20; 13; 10; 7; 6; 4; 4; 3; 3; 2	小提琴; 钢琴; 音乐; 交响乐; 优雅; 欧阳娜娜; 演奏; 乐器; 四重奏; 艺术	27; 7; 7; 4; 4; 4; 4; 3; 3; 3									muziek; orkest; viool; groot; snaren; instrument; concert; klassiek; mooi; muziekinstrument; gitaar; hout; strijkstok; muziekschool; lawaai; saai; strijkers	63; 21; 17; 14; 14; 13; 11; 10; 8; 7; 6; 6; 5; 4; 3; 3; 3									instrumento; música; violín; cuerdas; orquesta; arte; cello; cuerda	31; 26; 16; 12; 10; 4; 3; 3									Musik; Instrument; Orchester; Klassik; Streichinstrument; Geige; Bass; Konzert; Bach; Kontrabass; Saiten	29; 13; 13; 9; 7; 6; 5; 5; 3; 3; 3	Musik; Instrument; Konzert; Klassik; Orchester; Geige; Musikinstrument; Klassische Musik; Noten; Saiten; geige	18; 10; 10; 9; 9; 4; 4; 3; 3; 3; 3						
ceremony			仪式	典礼				ceremonie					ceremonia										wedding; funeral; church; rite; graduation; pomp; ritual; celebration; marriage; award; boring; event; formal; party; tradition; cemetery; official; religious	48; 23; 13; 11; 10; 10; 10; 9; 7; 6; 5; 4; 4; 4; 4; 3; 3; 3	婚礼; 庄重; 结婚; 正式; 典礼; 两仪式; 严肃; 仪式感; 礼仪; 祭祀; 葬礼; 邪教	10; 7; 7; 5; 4; 3; 3; 3; 3; 3; 3; 3	毕业; 开学; 结婚; 婚礼; 仪式; 庆典; 毕业典礼; 礼服; 婚纱	30; 13; 12; 8; 5; 3; 3; 3; 2							feest; huwelijk; begrafenis; plechtigheid; plechtig; trouw; ceremoniemeester; officieel; kerk; ritueel; meester; traditie; dienst; viering; bruiloft; stijf	35; 32; 24; 18; 17; 12; 10; 10; 8; 8; 6; 5; 4; 4; 3; 3									casamiento; fiesta; festejo; bautismo; acto; celebración; iglesia; misa; boda; protocolo; reunión; formal; formalidad; religiosa	22; 10; 8; 7; 6; 6; 6; 6; 5; 5; 4; 3; 3; 3																		
chair	Person/Thing	The house	椅子					stoel					silla					Stuhl					sit; table; seat; couch; lead; rest; stool; comfortable; wood; leg; sofa; comfort; furniture; head; rocking; back; bench; comfy; committee	50; 30; 23; 13; 8; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3	桌子; 凳子; 坐; 板凳; 休息; 坐下; 木头; 舒服; 坐着; 家具; 沙发	27; 17; 7; 6; 5; 5; 5; 5; 4; 4; 4									zitten; tafel; poten; hout; leuning; eten; bureau; design; meubel; zetel; hard; keuken; achterwerk; bruin; kruk	71; 35; 32; 19; 7; 6; 5; 5; 5; 5; 4; 4; 3; 3; 3									asiento; sentarse; mesa; madera; descanso; comodidad; cómoda; banco; sillón; respaldo; almohadón; alta; mueble	19; 18; 17; 14; 8; 7; 7; 5; 5; 4; 3; 3; 3									Tisch; sitzen; Holz; Lehne; Sessel; Sitzgelegenheit; bequem; Bein; Sitz; Sitzen; Stuhlgang	25; 25; 13; 7; 6; 5; 5; 4; 4; 4; 4								
character			角色	人品	字	品质	字符	karakter					personaje	carácter				Charakter					person; personality; actor; play; letter; book; study; integrity; cartoon; funny; good; role; assassination; morals; movie; story; strong; type; acting; alphabet	20; 20; 16; 14; 12; 9; 9; 8; 6; 6; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3	扮演; 演员; 电影; 导演; 戏剧; 主角; 人物; 剧情; 剧本	22; 14; 6; 3; 3; 2; 2; 2; 2	好; 运气; 人格; 差; 道德; 品德; 高尚; RP; 优秀; 爆棚	7; 7; 5; 5; 5; 4; 4; 3; 3; 3	词; 汉字; 写; 好看; 书法; 字母; 文化; 文字; 写字; 句; 毛笔; 画	11; 10; 6; 6; 5; 5; 5; 5; 3; 3; 3; 3	好; 质量; 生活; 优秀; 人品; 价格; 优良; 优越; 保证; 日本; 高端; 高贵; 产品; 人; 人格; 优雅	9; 9; 5; 4; 3; 3; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2	符号; 字符串; 电脑; 字节; 数字; 计算机; 代码; 字母; 汉字; 空格; 英文; 语言; 字体	8; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2	aard; persoonlijkheid; slecht; goed; sterk; koppig; lief; eigenschap; moeilijk; eigenheid; temperament; eigen; eigenschappen; film; innerlijk; persoonlijk; zacht; inborst; letter; mooi	26; 17; 15; 14; 12; 11; 8; 7; 6; 5; 5; 4; 4; 4; 4; 4; 4; 3; 3; 3									actor; teatro; película; ficción; dibujo; gracioso; libro; persona; protagonista; actuación; caricatura; cine; figura	21; 16; 11; 8; 6; 6; 6; 6; 5; 4; 3; 3; 3	personalidad; fuerte; letra; actitud; enojo; bueno; humor; mal; persona; podrido; ambiguo	16; 15; 5; 4; 4; 3; 3; 3; 3; 3; 2							Mensch; Persönlichkeit; Eigenschaften; stark; Person; gut; schlecht; Eigenschaft; Menschen; Rolle; Stärke	12; 11; 8; 8; 5; 5; 4; 3; 3; 3; 3								
cheap	Property	Possession	廉价	便宜				goedkoop					barato					billig					inexpensive; poor; expensive; shoddy; skate; stingy; bargain; money; bad quality; bird; easy; low; thrifty; tight; cheep; less money; tacky; tawdry; cost; date	32; 15; 9; 7; 7; 7; 6; 6; 5; 5; 5; 5; 5; 5; 4; 4; 4; 4; 3; 3	便宜; 商品; 昂贵; 质量; 质量差; 价格; 劳动力; 没好货; 劣质; 品味	21; 7; 5; 4; 4; 3; 3; 3; 2; 2	实惠; 价格; 昂贵; 没好货; 打折; 廉价; 质量; 贵; 买; 优惠; 划算; 物美价廉; 钱; 一分钱一分货	9; 6; 6; 6; 5; 4; 4; 4; 3; 3; 3; 3; 3; 2							aldi; solden; duur; geld; niet duur; kwaliteit; betaalbaar; slecht; weinig; colruyt; gratis; koopje; kopen; reclame; rommel; interessant; minderwaardig; prijs; voordelig; waardeloos	22; 18; 16; 13; 11; 9; 6; 6; 6; 5; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4									caro; oferta; económico; accesible; chino; plata; compra; comprar; dinero; malo; precio; bajo; berreta; bonito; ganga; ropa; bueno	20; 16; 15; 8; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 2									günstig; wertlos; Geld; schlecht; Qualität; Ramsch; einfach; Günstig; Schnäppchen; gratis; nicht teuer; preiswert; Ausbeutung	11; 7; 6; 5; 4; 4; 4; 3; 3; 3; 3; 3; 2								
chicken	Person/Thing	Animals	鸡肉	鸡				kip					pollo	gallina				Huhn					egg; food; feathers; soup; fried; bird; wings; meat; breast; cluck; dinner; hen; animal; coward; fingers; pot pie; rooster; scared; afraid; beak	24; 18; 16; 13; 10; 9; 9; 8; 6; 6; 6; 6; 5; 5; 5; 5; 5; 5; 4; 4	肯德基; 减肥; 鸡腿; 好吃; 炸鸡; 鸡胸肉; 鸭肉; 牛肉; 禽流感; 猪肉; 柴; 白色; 美味	8; 7; 7; 6; 6; 6; 6; 5; 5; 4; 3; 3; 3	鸭; 鸡肉; 生肖; 狗; 鱼; 鸡腿; 鸡蛋; 公鸡; 动物; 好吃; 打鸣; 食物; 鸡冠	12; 7; 6; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3							ei; haan; eten; pluimen; kuiken; veren; curry; lekker; dom; kippenhok; ren; rijst; vogel; dier; friet; graan; kakelen; markt; spit; tok	58; 25; 15; 12; 10; 9; 7; 7; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4									gallina; comida; plumas; ave; animal; asado; carne; granja; huevo; rico; gallo; milanesas; amarillo	19; 17; 13; 12; 9; 7; 6; 5; 5; 5; 3; 3; 2	huevos; plumas; ave; gallo; campo; pollo; animal; granja; gallinero	42; 16; 14; 13; 8; 8; 7; 6; 5							Ei; Hahn; Eier; Henne; Küken; Vogel; Federn; Gockel; gackern; Suppe; Bauer	31; 18; 11; 11; 7; 6; 5; 4; 4; 3; 2								
child	Person/Thing	Kinship	孩子	孩童	小孩	儿童	小孩子	kind					niño	hijo	infante			Kind					baby; kid; young; boy; infant; girl; parent; children; little; mother; small; play; son; adult; toddler; daughter; innocent; like; love; offspring	27; 26; 15; 13; 12; 9; 9; 7; 7; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3	可爱; 父母; 天真; 妈妈; 婴儿; 小孩; 学校; 家长; 教育; 儿童; 哭; 哭泣; 哭闹; 天性; 奶嘴; 娃; 宝贝	15; 14; 6; 5; 4; 4; 3; 3; 3; 2; 2; 2; 2; 2; 2; 2; 2	天真; 可爱; 熊孩子; 儿童; 小孩; 幼稚; 幼儿园; 活泼; 五六岁; 大人; 天使	18; 6; 5; 4; 4; 4; 3; 3; 2; 2; 2	可爱; 熊孩子; 儿童; 天真; 吵闹; 婴儿; 烦人; 父母; 公园	10; 7; 5; 5; 4; 3; 3; 3; 2	天真; 孩子; 小孩; 乐园; 可爱; 儿童节; 快乐; 吵闹; 小孩子; 幼儿园; 成长; 教育; 玩具; 保护; 六一	7; 6; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3; 2; 2	可爱; 熊孩子; 天真; 吵闹; 幼儿; 淘气; 讨厌; 调皮; 不懂事; 儿童; 厌恶; 哭; 大人; 婴儿; 小朋友; 小辫子	19; 14; 9; 7; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2; 2; 2	klein; jong; spelen; baby; ouders; schattig; lief; speels; onschuldig; school; kleuter; moeder; ouder; wenen; blij; huilen; kwetsbaar; lach; liefde; mama	31; 22; 17; 10; 9; 9; 8; 7; 6; 6; 5; 5; 5; 5; 3; 3; 3; 3; 3; 3									pequeño; chico; nene; niña; juego; infante; hijo; infancia; alegría; amor; bebé; escuela; inocencia; feliz; juegos; pibe	16; 12; 11; 8; 7; 6; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3	amor; padre; madre; niño; descendiente; familia; hija; responsabilidad; varón; bebé; mío; pequeño; vida	22; 16; 15; 13; 6; 6; 6; 5; 4; 3; 3; 3; 3	niño; pequeño; jardín; bebé; chico; elefante; inocencia; militar; soldado	49; 13; 9; 6; 4; 3; 3; 3; 3					Eltern; klein; Mutter; Baby; Vater; spielen; jung; Erwachsener; Familie; Ball; Geschwister	16; 13; 11; 9; 6; 6; 4; 3; 3; 2; 2								
chocolate			巧克力					chocolade	choco				chocolate					Schokolade					sweet; brown; milk; bar; cake; dark; candy; cocoa; yummy; delicious; yum; food; chip; dessert; fat; fudge; melt	29; 25; 16; 15; 15; 15; 14; 10; 8; 7; 7; 5; 4; 4; 4; 4; 4	甜; 情人节; 黑色; 可可; 好吃; 德芙; 牛奶; 棕色; 蛋糕; 咖啡; 甜蜜; 糖果; 苦	12; 9; 9; 6; 6; 5; 5; 4; 4; 3; 3; 3; 3									lekker; bruin; zoet; reep; eten; melk; pasen; snoep; puur; zwart; cote dor; sinterklaas; chocomelk; honger; mousse; wit; cacao; dik	60; 32; 15; 10; 9; 8; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3	boterham; bruin; lekker; chocolade; zoet; melk; nutella; pot; pasta; brood; eten; warm; aap; hazelnoot; mes; ontbijt; boter	49; 37; 31; 14; 12; 8; 8; 8; 6; 5; 5; 5; 4; 4; 4; 4; 3							dulce; rico; marrón; amargo; caliente; cacao; invierno; negro; placer; calorías; dulzura; leche; taza; antojo	30; 25; 9; 8; 8; 6; 4; 4; 4; 3; 3; 3; 3; 2									lecker; süß; SÜSS; Kakao; braun; dunkel; schwarz; Genuss; Milch; Schweiz; Zartbitter; Zucker; essen; Glücksgefühl	17; 12; 11; 7; 5; 5; 4; 3; 3; 3; 3; 3; 3; 2								
choice			选择					keuze					elección					Auswahl	Wahl				option; decision; choose; best; selection; pick; freedom; abortion; pro; free; opt; select; meat; multiple; prime; either; good; one; elect	27; 24; 14; 13; 11; 10; 9; 8; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 3	困难; 题; 人生; 抉择; 困难症; 纠结; 考试; 艰难; 决定; 实验; 对错	14; 7; 6; 5; 4; 3; 3; 3; 2; 2; 2									moeilijk; mogelijkheid; vrijheid; kiezen; optie; beslissing; twijfel; beslissen; mening; dilemma; leven; persoonlijk; bepaalde richting; kans; maken; nadenken; studie	27; 19; 19; 16; 15; 13; 8; 6; 6; 5; 4; 4; 3; 3; 3; 3; 3									decisión; opción; elegír; democracia; libertad; presidente; selección; votar; elegir; votación; fraude; optar	15; 12; 9; 7; 7; 6; 5; 5; 4; 4; 3; 3									Entscheidung; Wahl; Angebot; Selektion; treffen; Elite; Vielfalt; wählen; Qual; Auswahlverfahren; Choice	9; 8; 7; 5; 5; 4; 4; 4; 3; 2; 2	Politik; Bundestag; Demokratie; Entscheidung; Qual; Auswahl; Freiheit; Urne; Merkel; Zettel; geheim; Betrug; Entscheiden	14; 10; 8; 8; 7; 6; 6; 6; 3; 3; 3; 2; 2						
church	Person/Thing	Religion and belief	教堂	教会				kerk					iglesia					Kirche					steeple; religion; God; building; priest; Sunday; pew; Bible; cathedral; chapel; catholic; community; synagogue; worship; holy; people; pray; school; stone; bells	23; 22; 15; 9; 9; 8; 7; 6; 6; 6; 5; 5; 5; 5; 4; 4; 4; 4; 4; 3	神父; 十字架; 婚礼; 基督; 宗教; 牧师; 耶稣; 结婚; 教父; 主教; 神圣; 基督教; 祈祷	11; 10; 10; 7; 7; 7; 7; 6; 5; 4; 4; 3; 3	基督教; 教堂; 神父; 修女; 十字架; 宗教; 基督; 天主教; 教皇; 牧师; 礼拜; 神秘; 老师	13; 9; 8; 7; 7; 7; 5; 5; 4; 4; 3; 3; 3							kruis; mis; pastoor; priester; geloof; god; paus; toren; jezus; saai; zondag; begrafenis; gebouw; godsdienst; koud; bidden; kil; altaar; groot gebouw met kruis; kerkhof	23; 21; 20; 18; 13; 12; 12; 12; 10; 6; 6; 5; 5; 5; 5; 4; 4; 3; 3; 3									religión; cura; cruz; templo; dios; católica; edificio; fe; papa; arde; creencia; culto; institución; misa; amor; banco	25; 14; 11; 9; 7; 6; 4; 4; 4; 3; 3; 3; 3; 3; 2; 2									Glaube; Gott; Religion; Pfarrer; Gottesdienst; Kreuz; Papst; Turm; Dorf; Gemeinde; Christentum; Gemeinschaft; Gotteshaus; Jesus; evangelisch	10; 10; 9; 7; 6; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3								
